external_gene_name	ensembl_transcript_id	mmusculus_homolog_associated_gene_name
PFN1P9	ENST00000475753	
NOTCH2P1	ENST00000443481	
ADAM30	ENST00000369400	Adam30
NOTCH2	ENST00000256646	Notch2
RNU6-465P	ENST00000384420	
SEC22B	ENST00000578049	Sec22b
AC244669.1	ENST00000616141	
NBPF8	ENST00000652355	
PFN1P2	ENST00000604437	
PPIAL4A	ENST00000577856	
LINC00623	ENST00000614062	
FCGR1B	ENST00000623603	Fcgr1
AC244453.3	ENST00000426275	
AC244453.2	ENST00000457996	
H2BP1	ENST00000430394	
AC244453.1	ENST00000427872	
H3P4	ENST00000401004	
RPL22P6	ENST00000419150	
FAM72B	ENST00000369390	Fam72a
SRGAP2C	ENST00000367123	Srgap2
SRGAP2-AS1	ENST00000437515	
LINC02798	ENST00000650414	
AL592494.1	ENST00000437523	
MTIF2P1	ENST00000425455	
EMBP1	ENST00000648011	
LINC01691	ENST00000450546	
RNA5SP533	ENST00000517021	
AC239859.3	ENST00000582255	
NKAIN1P1	ENST00000435754	
AC239859.2	ENST00000444165	
LINC02799	ENST00000456469	
AC239859.1	ENST00000449715	
NBPF17P	ENST00000401087	
PFN1P12	ENST00000455938	
RNU1-114P	ENST00000365297	Gm23027
RNVU1-17	ENST00000384619	
RNVU1-23	ENST00000517017	
RNVU1-18	ENST00000384010	
AC239800.2	ENST00000443018	
AC239800.1	ENST00000442049	
FAM91A3P	ENST00000456826	
AC239800.3	ENST00000603712	
LINC02591	ENST00000424684	
RNU1-143P	ENST00000516296	
AC239798.1	ENST00000449024	
AC239798.2	ENST00000454459	
FCGR1CP	ENST00000579737	
H2BP2	ENST00000609585	
AC246680.1	ENST00000444624	
RPL22P5	ENST00000422106	
FAM72C	ENST00000584486	Fam72a
SRGAP2D	ENST00000605551	
LINC02802	ENST00000452399	
DRD5P2	ENST00000421395	
PPIAL4E	ENST00000581164	
AC246785.4	ENST00000605374	
RNVU1-15	ENST00000384476	
AC246785.3	ENST00000455105	
AC246785.2	ENST00000432512	
NBPF15	ENST00000488031	
PFN1P6	ENST00000476786	
AC246785.1	ENST00000440916	
FP700111.1	ENST00000441760	
RNA5SP59	ENST00000410922	
SRGAP2B	ENST00000641863	Srgap2
AC242498.1	ENST00000604134	
FAM72D	ENST00000400889	Fam72a
AC241585.1	ENST00000433527	
PPIAL4D	ENST00000544708	
AC245014.2	ENST00000603689	
RNVU1-14	ENST00000384770	
AC245014.1	ENST00000427732	
NBPF20	ENST00000392971	
PFN1P3	ENST00000443612	
RNU1-154P	ENST00000580816	Gm23027
RNVU1-31	ENST00000605806	
NBPF25P	ENST00000619932	
GPR89A	ENST00000313835	Gpr89
PDZK1	ENST00000417171	Pdzk1
CD160	ENST00000369288	Cd160
RNF115	ENST00000582693	Rnf115
POLR3C	ENST00000334163	Polr3c
NUDT17	ENST00000334513	Nudt17
PIAS3	ENST00000393045	Pias3
ANKRD35	ENST00000355594	Ankrd35
ITGA10	ENST00000369304	Itga10
AC243547.1	ENST00000415065	
PEX11B	ENST00000369306	Pex11b
RBM8A	ENST00000583313	Rbm8a
RBM8A	ENST00000583313	Rbm8a2
GNRHR2	ENST00000312753	
LIX1L-AS1	ENST00000412239	
LIX1L	ENST00000604000	Lix1l
ANKRD34A	ENST00000606888	Ankrd34a
POLR3GL	ENST00000369314	
TXNIP	ENST00000582401	Txnip
HJV	ENST00000336751	Hjv
RNVU1-6	ENST00000364688	
LINC01719	ENST00000664959	
NBPF10	ENST00000583866	
NOTCH2NLA	ENST00000362074	
RNU6-1071P	ENST00000364919	
NUDT4P2	ENST00000578341	
PPIAL4H	ENST00000584068	
NBPF12	ENST00000617931	
PFN1P8	ENST00000497012	
AC244394.2	ENST00000425109	
NBPF13P	ENST00000444082	
AC244394.1	ENST00000435000	
RNU1-151P	ENST00000364272	Gm23027
AC241584.1	ENST00000438469	
PRKAB2	ENST00000254101	Prkab2
PDIA3P1	ENST00000649713	
AC242426.2	ENST00000650785	
FMO5	ENST00000254090	Fmo5
CCT8P1	ENST00000413611	
RPL7AP15	ENST00000446956	
CHD1L	ENST00000369258	Chd1l
AC242426.1	ENST00000435270	
OR13Z1P	ENST00000416141	
AC242425.1	ENST00000384480	
BCL9	ENST00000234739	Bcl9
ACP6	ENST00000583509	Acp6
AC241644.1	ENST00000431525	
GJA5	ENST00000621517	Gja5
AC241644.2	ENST00000426504	
AC239801.1	ENST00000458399	
GJA8	ENST00000369235	Gja8
GPR89B	ENST00000314163	Gpr89
PDZK1P1	ENST00000401008	
RNU1-129P	ENST00000384064	Gm23027
RNVU1-7	ENST00000383858	
PDE4DIPP1	ENST00000420737	
NBPF11	ENST00000615281	
PFN1P4	ENST00000450970	
ABHD17AP1	ENST00000358206	
LINC02805	ENST00000659506	
AC239809.3	ENST00000599640	
RNA5SP57	ENST00000459463	
AC239809.1	ENST00000450470	
AC239809.2	ENST00000415381	
RNVU1-22	ENST00000363009	
LINC01731	ENST00000428035	
AC245100.3	ENST00000441281	
LINC02806	ENST00000427169	
AC245100.1	ENST00000648583	
AC245100.5	ENST00000452108	
Y_RNA	ENST00000516935	
RNVU1-21	ENST00000365538	
RNVU1-1	ENST00000384610	
RNU1-155P	ENST00000516326	
RNVU1-2	ENST00000384499	
AC245100.4	ENST00000634549	
RNVU1-3	ENST00000364313	Gm23735
AC245100.2	ENST00000454544	
PPIAL4G	ENST00000419275	
NBPF14	ENST00000619423	
RNU6-1171P	ENST00000516706	
NUDT4B	ENST00000322209	Nudt4
AC245389.1	ENST00000605141	
PDE4DIP	ENST00000369356	Pde4dip
RN7SKP88	ENST00000516847	
RNU2-38P	ENST00000410856	Gm22768
AC239802.1	ENST00000531288	
AC239802.2	ENST00000532137	
AC239804.1	ENST00000466343	
NBPF9	ENST00000615421	
RNVU1-24	ENST00000364829	
AC245297.1	ENST00000313342	
NBPF19	ENST00000651566	
PPIAL4C	ENST00000585245	
RNVU1-30	ENST00000384101	Gm23735
AC243772.3	ENST00000617878	
AC243772.1	ENST00000451620	
FCGR1A	ENST00000369168	Fcgr1
H2BC18	ENST00000369167	H2bc18
AC243772.2	ENST00000428289	
H3C13	ENST00000331491	H3c15
H4C14	ENST00000578186	H4c14
H3C14	ENST00000369158	
H2AC18	ENST00000369159	
H2BC19P	ENST00000608318	
H2BC20P	ENST00000564237	
H2AC19	ENST00000607355	H2ac19
H3C15	ENST00000403683	H3c7
H4C15	ENST00000579512	
AC239868.1	ENST00000577853	
H2BC21	ENST00000369155	
H2AC20	ENST00000331380	H2ac20
H2AC21	ENST00000331128	H2ac21
BOLA1	ENST00000369153	Bola1
SV2A	ENST00000369146	Sv2a
SF3B4	ENST00000271628	Sf3b4
MTMR11	ENST00000439741	Mtmr11
OTUD7B	ENST00000581312	Otud7b
AC244033.1	ENST00000426826	
VPS45	ENST00000644510	Vps45
PLEKHO1	ENST00000369124	Plekho1
RN7SL480P	ENST00000581481	
ANP32E	ENST00000583931	Anp32e
RNU2-17P	ENST00000410290	Gm22423
CA14	ENST00000647854	Car14
APH1A	ENST00000369109	Aph1a
C1orf54	ENST00000369102	BC028528
CIART	ENST00000369095	Ciart
MRPS21	ENST00000614145	Mrps21
PRPF3	ENST00000324862	Prpf3
RPRD2	ENST00000369068	Rprd2
TARS2	ENST00000369064	Tars2
ECM1	ENST00000369047	Ecm1
FALEC	ENST00000416894	
ADAMTSL4-AS2	ENST00000442435	
ADAMTSL4	ENST00000271643	Adamtsl4
MIR4257	ENST00000581735	
ADAMTSL4-AS1	ENST00000617352	
MCL1	ENST00000369026	Mcl1
AL356356.1	ENST00000517238	Gm23351
ENSA	ENST00000369014	Ensa
GOLPH3L	ENST00000271732	Golph3l
HORMAD1	ENST00000361824	Hormad1
RNU6-1042P	ENST00000384204	
CTSS	ENST00000368985	Ctss
AL356292.1	ENST00000283110	
CTSK	ENST00000271651	Ctsk
UBE2D3P3	ENST00000426992	
ARNT	ENST00000358595	Arnt
RNU6-1309P	ENST00000363305	
RPS27AP6	ENST00000427962	
CYCSP51	ENST00000443545	
SETDB1	ENST00000368969	Setdb1
CERS2	ENST00000368954	Cers2
AL590133.2	ENST00000561111	
AL590133.1	ENST00000412838	
ANXA9	ENST00000368947	Anxa9
MINDY1	ENST00000361936	Mindy1
PRUNE1	ENST00000271620	Prune1
RNU6-884P	ENST00000363889	
BNIPL	ENST00000368931	Bnipl
C1orf56	ENST00000368926	Gm128
CDC42SE1	ENST00000439374	Cdc42se1
MLLT11	ENST00000368921	Mllt11
GABPB2	ENST00000368918	Gabpb2
RPS29P29	ENST00000456396	
AL592424.1	ENST00000563624	
SEMA6C	ENST00000368914	Sema6c
TNFAIP8L2	ENST00000368910	Tnfaip8l2
SCNM1	ENST00000368905	Scnm1
LYSMD1	ENST00000368908	Lysmd1
TMOD4	ENST00000295314	Tmod4
VPS72	ENST00000368892	Vps72
PIP5K1A	ENST00000349792	Pip5k1a
PSMD4	ENST00000368884	Psmd4
ZNF687-AS1	ENST00000661167	
ZNF687	ENST00000336715	Zfp687
PI4KB	ENST00000368874	Pi4kb
RN7SL444P	ENST00000578948	
RFX5	ENST00000290524	Rfx5
AL391069.1	ENST00000422153	
RFX5-AS1	ENST00000455503	
SELENBP1	ENST00000368868	Selenbp2
SELENBP1	ENST00000368868	Selenbp1
PSMB4	ENST00000290541	Psmb4
POGZ	ENST00000271715	Pogz
RNY4P25	ENST00000459254	
CGN	ENST00000271636	Cgn
AL365436.3	ENST00000517031	Gm22840
TUFT1	ENST00000368849	Tuft1
AL365436.2	ENST00000434112	
MIR554	ENST00000384874	
AL365436.1	ENST00000452587	
SNX27	ENST00000458013	Snx27
AL391335.1	ENST00000504583	
RNU6-1062P	ENST00000383908	Gm22608
CELF3	ENST00000290583	Celf3
AL589765.1	ENST00000457548	
RIIAD1	ENST00000479191	Riiad1
RNU6-662P	ENST00000384253	
AL589765.7	ENST00000601684	
AL589765.3	ENST00000446084	
MRPL9	ENST00000368830	Mrpl9
OAZ3	ENST00000400999	Oaz3
AL589765.4	ENST00000512280	
AL589765.2	ENST00000420382	
AL589765.5	ENST00000596133	
TDRKH	ENST00000368827	Tdrkh
TDRKH-AS1	ENST00000660232	
AL589765.6	ENST00000601909	
LINGO4	ENST00000368820	Lingo4
RORC	ENST00000318247	Rorc
C2CD4D	ENST00000454109	C2cd4d
Y_RNA	ENST00000364264	
C2CD4D-AS1	ENST00000434182	
THEM5	ENST00000368817	Them5
THEM4	ENST00000368814	Them4
KRT8P28	ENST00000433288	
S100A10	ENST00000368811	S100a10
AL450992.1	ENST00000432386	
NBPF18P	ENST00000413192	
S100A11	ENST00000271638	S100a11
SPTLC1P4	ENST00000435997	
TCHHL1	ENST00000368806	Tchhl1
TCHH	ENST00000614923	Tchh
AL589986.1	ENST00000429230	
PUDPP2	ENST00000628080	
RPTN	ENST00000316073	Rptn
FLG-AS1	ENST00000653548	
AL589986.2	ENST00000429352	
HRNR	ENST00000368801	Hrnr
FLG	ENST00000368799	Flg
FLG2	ENST00000388718	Flg2
HMGN3P1	ENST00000453847	
CRNN	ENST00000271835	Crnn
LCE5A	ENST00000334269	Lce1e
LCE5A	ENST00000334269	Lce1g
CRCT1	ENST00000368790	
LCE3E	ENST00000368789	
LCE3D	ENST00000368787	
LCE3C	ENST00000333881	
LCE3B	ENST00000335633	
LCE3A	ENST00000335674	
LCEP4	ENST00000422768	
LCE2D	ENST00000368784	
LCE2C	ENST00000368783	
LCE2B	ENST00000368780	
LCE2A	ENST00000368779	
LCE4A	ENST00000368777	
C1orf68	ENST00000368775	2310050C09Rik
LCEP2	ENST00000434793	
LCEP1	ENST00000424917	
KPRP	ENST00000606109	Kprp
LCE1F	ENST00000334371	
LCE1E	ENST00000368770	
LCE1D	ENST00000326233	
LCE1C	ENST00000607093	
LCE1B	ENST00000360090	
LCE1A	ENST00000335123	
LCE6A	ENST00000431011	
SMCP	ENST00000368765	
IVL	ENST00000368764	
LINC01527	ENST00000419578	
SPRR4	ENST00000328051	Sprr4
SPRR1A	ENST00000368762	
SPRR3	ENST00000331860	Sprr3
AL356867.1	ENST00000429623	
AL356867.2	ENST00000517111	
SPRR1B	ENST00000307098	
SPRR2D	ENST00000368758	
SPRR2A	ENST00000392653	
SPRR2B	ENST00000368755	
SPRR2E	ENST00000368751	
SPRR2F	ENST00000468739	
SPRR2C	ENST00000290702	
SPRR2G	ENST00000368748	
AL161636.1	ENST00000427145	
LELP1	ENST00000368747	Lelp1
PRR9	ENST00000368744	Prr9
AL161636.2	ENST00000445179	
LORICRIN	ENST00000368742	
PGLYRP3	ENST00000290722	Pglyrp3
PGLYRP4	ENST00000359650	Pglyrp4
RNU6-160P	ENST00000384591	Gm23378
RNU6-160P	ENST00000384591	Gm24465
S100A9	ENST00000368738	Gm5849
S100A12	ENST00000368737	
LAPTM4BP1	ENST00000447781	
S100A8	ENST00000368733	S100a8
S100A15A	ENST00000421658	
S100A7A	ENST00000368729	
S100A7P1	ENST00000432574	
S100A7L2	ENST00000368725	
S100A7	ENST00000368723	
RN7SL44P	ENST00000583849	
BX470102.1	ENST00000420695	
S100A6	ENST00000368720	S100a6
S100A5	ENST00000368718	S100a5
S100A4	ENST00000368714	S100a4
S100A3	ENST00000368713	S100a3
S100A3	ENST00000368713	Gm42674
S100A16	ENST00000368706	S100a16
S100A14	ENST00000368702	S100a14
S100A13	ENST00000440685	S100a13
AL162258.1	ENST00000497086	
S100A1	ENST00000292169	S100a1
AL162258.2	ENST00000469931	
CHTOP	ENST00000368694	Chtop
SNAPIN	ENST00000368685	Snapin
ILF2	ENST00000361891	Ilf2
NPR1	ENST00000368680	Npr1
RN7SL372P	ENST00000461982	
GEMIN2P1	ENST00000454246	
Y_RNA	ENST00000362695	
INTS3	ENST00000318967	Ints3
AL513523.4	ENST00000453778	
AL513523.3	ENST00000434575	
SLC27A3	ENST00000271857	Slc27a3
Y_RNA	ENST00000384312	
GATAD2B	ENST00000368655	Gatad2b
AL513523.2	ENST00000427283	
AL513523.1	ENST00000417868	
AL831737.1	ENST00000441288	
DENND4B	ENST00000361217	Dennd4b
CRTC2	ENST00000368633	Crtc2
SLC39A1	ENST00000617697	Slc39a1
CREB3L4	ENST00000368607	Creb3l4
JTB	ENST00000271843	Jtb
RAB13	ENST00000368575	Rab13
RPS27	ENST00000651669	Rps27rt
NUP210L	ENST00000368559	Nup210l
AL358472.1	ENST00000431295	
RNU6-179P	ENST00000363350	
RPS7P2	ENST00000435134	
MIR5698	ENST00000577643	
TPM3	ENST00000651641	
RN7SL431P	ENST00000582918	
MIR190B	ENST00000401119	
C1orf189	ENST00000368525	1700094D03Rik
C1orf43	ENST00000368521	4933434E20Rik
UBAP2L	ENST00000428931	Ubap2l
SNORA58B	ENST00000364259	Gm24608
HAX1	ENST00000328703	Hax1
AL354980.1	ENST00000516873	Gm50449
RNU6-239P	ENST00000390990	Gm27385
RNU6-121P	ENST00000410525	Gm27385
AQP10	ENST00000324978	
ATP8B2	ENST00000368489	Atp8b2
RNU7-57P	ENST00000459540	
AL162591.1	ENST00000449634	
RPSAP17	ENST00000437336	
IL6R-AS1	ENST00000424435	
IL6R	ENST00000368485	Il6ra
PSMD8P1	ENST00000436275	
