From	Entry	Entry.Name
ENSMUST00000015460	Q9QUM4	SLAF1_MOUSE
ENSMUST00000006171	A0A0R4J207	A0A0R4J207_MOUSE
ENSMUST00000004827	E9PX73	E9PX73_MOUSE
ENSMUST00000001455	Q921S6	Q921S6_MOUSE
ENSMUST00000014370	Q9CXW3	CYBP_MOUSE
ENSMUST00000015499	F8WHM0	F8WHM0_MOUSE
ENSMUST00000004829	Q07763	CD244_MOUSE
ENSMUST00000018333	Q9WUP7	UCHL5_MOUSE
ENSMUST00000027655	Q9DBN9	DDX59_MOUSE
ENSMUST00000015889	Q9JIY0	PKHO1_MOUSE
ENSMUST00000023918	Q920Q8	NS1BP_MOUSE
ENSMUST00000027606	A0A087WPY2	A0A087WPY2_MOUSE
ENSMUST00000027649	P45448	NR5A2_MOUSE
ENSMUST00000015998	Q9QWK4	CD5L_MOUSE
ENSMUST00000015894	Q8BVF7	APH1A_MOUSE
ENSMUST00000027833	F8WHL2	F8WHL2_MOUSE
ENSMUST00000027667	P97350	PKP1_MOUSE
ENSMUST00000027877	P70188	KIFA3_MOUSE
ENSMUST00000027876	Q9DBQ7	PACE1_MOUSE
ENSMUST00000027671	P50752	TNNT2_MOUSE
ENSMUST00000027754	O70145	NCF2_MOUSE
ENSMUST00000027878	P63013	PRRX1_MOUSE
ENSMUST00000027874	Q3U5F6	Q3U5F6_MOUSE
ENSMUST00000027866	Q8R2X8	GO45_MOUSE
ENSMUST00000027867	Q80ZU5	CC181_MOUSE
ENSMUST00000027753	G5E874	G5E874_MOUSE
ENSMUST00000029684	O35609	SCAM3_MOUSE
ENSMUST00000027970	Q9D0T2	DUS12_MOUSE
ENSMUST00000029440	A0A0R4J086	A0A0R4J086_MOUSE
ENSMUST00000027885	Q640P2	ANGL1_MOUSE
ENSMUST00000028010	P97501	FMO3_MOUSE
ENSMUST00000027966	A0A0B4J1E6	A0A0B4J1E6_MOUSE
ENSMUST00000027881	Q91XT4	SC16B_MOUSE
ENSMUST00000028016	A0A0A0MQ79	A0A0A0MQ79_MOUSE
ENSMUST00000028017	Q91YR5	EFNMT_MOUSE
ENSMUST00000027886	Q9ERD6	RGPS2_MOUSE
ENSMUST00000028024	P43488	TNFL4_MOUSE
ENSMUST00000027974	F6VAN0	ATF6A_MOUSE
ENSMUST00000027981	A0A0R4J085	A0A0R4J085_MOUSE
ENSMUST00000028014	Q8VHG0	FMO4_MOUSE
ENSMUST00000028035	Q3U3S3	CENPL_MOUSE
ENSMUST00000028020	O70624	MYOC_MOUSE
ENSMUST00000064725	P32261	ANT3_MOUSE
ENSMUST00000063719	Q9CR23	TMEM9_MOUSE
ENSMUST00000045876	Q3TQQ9	CA112_MOUSE
ENSMUST00000052629	Q05BQ1	TUTLA_MOUSE
ENSMUST00000045902	Q8K2I3	FMO2_MOUSE
ENSMUST00000039178	Q80Z71	TENN_MOUSE
ENSMUST00000029698	Q9JHS3	LTOR2_MOUSE
ENSMUST00000035430	Q8BIP0	SYDM_MOUSE
ENSMUST00000036181	Q9WVT6	CAH14_MOUSE
ENSMUST00000064771	Q9DBQ9	SWT1_MOUSE
ENSMUST00000051396	Q61263	SOAT1_MOUSE
ENSMUST00000068584	P18181	CD48_MOUSE
ENSMUST00000057072	Q8BG37	Q8BG37_MOUSE
ENSMUST00000071718	Q6GT24	Q6GT24_MOUSE
ENSMUST00000029709	Q9QXK9	SH22A_MOUSE
ENSMUST00000047817	E9Q3T3	E9Q3T3_MOUSE
ENSMUST00000053364	Q8CJ27	ASPM_MOUSE
ENSMUST00000029711	Q9WTL4	INSRR_MOUSE
ENSMUST00000035065	Q05769	PGH2_MOUSE
ENSMUST00000046521	Q9D219	BCL9_MOUSE
ENSMUST00000063199	Q9ERD6	RGPS2_MOUSE
ENSMUST00000029738	Q8BS95	GPHR_MOUSE
ENSMUST00000048309	H7BX08	H7BX08_MOUSE
ENSMUST00000043560	Q5RJH6	SMG7_MOUSE
ENSMUST00000075805	P63013	PRRX1_MOUSE
ENSMUST00000046049	P50285	FMO1_MOUSE
ENSMUST00000046476	Q924M1	Q924M1_MOUSE
ENSMUST00000045138	Q8BRM2	GORAB_MOUSE
ENSMUST00000048377	Q8C341	SUCO_MOUSE
ENSMUST00000051925	D3Z0Y2	D3Z0Y2_MOUSE
ENSMUST00000068878	Q01965	LY9_MOUSE
ENSMUST00000044581	Q8K207	CA021_MOUSE
ENSMUST00000044021	Q9EQN9	S19A2_MOUSE
ENSMUST00000062944	P28236	CXA8_MOUSE
ENSMUST00000029694	Q60875	ARHG2_MOUSE
ENSMUST00000065625	A0A0R4J0U8	A0A0R4J0U8_MOUSE
ENSMUST00000054356	Q3V1L6	MTMRB_MOUSE
ENSMUST00000075164	F8VQE2	F8VQE2_MOUSE
ENSMUST00000059498	Q2HXL6	EDEM3_MOUSE
ENSMUST00000050010	Q8BSN6	Q8BSN6_MOUSE
ENSMUST00000073441	Q5RJH6	SMG7_MOUSE
ENSMUST00000056710	Q8BVF7	APH1A_MOUSE
ENSMUST00000070200	P47713	PA24A_MOUSE
ENSMUST00000097464	D3YYN7	D3YYN7_MOUSE
ENSMUST00000081103	A0A0B4J1G1	A0A0B4J1G1_MOUSE
